Field,Value
HoTen,Nguyễn Văn B
MSSV,20110001
NgaySinh,01/01/2002
Lop,20DTHD1
Khoa,Công nghệ Thông tin
AnhDaiDien,/images/avatar.jpg
Email,nguyenvana@student.edu.vn
SoDienThoai,0901234567
DiaChi,"123 Đường ABC, Quận 1, TP.HCM"
GioiThieu,"Sinh viên năm cuối ngành Công nghệ Thông tin, đam mê lập trình và phát triển phần mềm. Luôn tìm tòi học hỏi công nghệ mới và mong muốn được đóng góp vào các dự án thực tế."
TruongDaoTao,Trường Đại học Công nghệ TP.HCM
NganhHoc,Công nghệ Thông tin
GPA,3.5/4.0
ChungChi,AWS Certified Cloud Practitioner|Microsoft Azure Fundamentals|TOEIC 750
KyNangChuyenMon,C#|ASP.NET Core|Python|JavaScript|SQL Server|MongoDB|Git|Docker
KyNangMem,Làm việc nhóm|Giao tiếp|Giải quyết vấn đề|Quản lý thời gian|Tư duy logic
NgoaiNgu,Tiếng Anh (TOEIC 750)|Tiếng Nhật (N4)
NCKH,"[{""TenNhiemVu"":""Nghiên cứu ứng dụng AI trong y tế"",""MoTa"":""Phát triển mô hình Machine Learning để hỗ trợ chẩn đoán bệnh"",""ThoiGian"":""01/2025 - 06/2025"",""CongViec"":""Thu thập dữ liệu, xây dựng model"",""VaiTro"":""Thành viên nghiên cứu"",""KetQua"":""Đạt giải 3 cuộc thi NCKH cấp trường""}]"
DuAn,"[{""TenDuAn"":""Website Quản lý Sinh viên"",""MoTa"":""Hệ thống quản lý thông tin sinh viên trực tuyến"",""ThoiGian"":""09/2024 - 12/2024"",""CongNghe"":""ASP.NET Core, SQL Server, Bootstrap"",""VaiTro"":""Full-stack Developer""},{""TenDuAn"":""App Mobile Đặt đồ ăn"",""MoTa"":""Ứng dụng di động đặt món ăn online"",""ThoiGian"":""03/2024 - 06/2024"",""CongNghe"":""React Native, Node.js, MongoDB"",""VaiTro"":""Backend Developer""}]"
SoThich,Đọc sách|Chơi cầu lông|Nghe nhạc|Du lịch|Học công nghệ mới
MucTieuNgheNghiep,"Trở thành Software Engineer tại các công ty công nghệ hàng đầu. Trong 5 năm tới, mong muốn phát triển kỹ năng chuyên môn và có cơ hội làm việc trong môi trường quốc tế."
